"Part","Value","Attributes","Package","Description","Part Num","Mfg Name","VID","Vendor Part Num","Description","XREF"
"C60","4700pF","","C0805","NON-POLARIZED CAP","C0805C472K5RACTU","Kemet","DK","399-1155-1-ND","CAP 4700PF 50V CERAMIC X7R 0805","REF77"
"C61","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C62","0.001uF","","C0805","NON-POLARIZED CAP","C0805C102K5RACTU","Kemet","DK","399-1147-1-ND","CAP 1000PF 50V CERAMIC X7R 0805","REF65"
"C63","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C64","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C65","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C66","1uF","","C0805","NON-POLARIZED CAP","C0805C105Z3VACTU","Kemet","DK","399-1293-1-ND","CAP 1.0UF 25V CERAMIC Y5V 0805","REF73"
"C67","1uF","TANT","C3216/T","POLARIZED CAP","T491A105K016AT","Kemet","DK","399-3678-1-ND","CAPACITOR TANT 1.0UF 16V 10% SMD","REF23"
"C68","22uF","TANT","C3528/T","POLARIZED CAP","T491B226M016AT","Kemet","DK","399-3717-1-ND","CAPACITOR TANT 22UF 16V 20% SMD","REF26"
"C69","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C70","22uF","TANT","C3528/T","POLARIZED CAP","T491B226M016AT","Kemet","DK","399-3717-1-ND","CAPACITOR TANT 22UF 16V 20% SMD","REF26"
"C71","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C72","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C73","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C74","22uF","TANT","C3528/T","POLARIZED CAP","T491B226M016AT","Kemet","DK","399-3717-1-ND","CAPACITOR TANT 22UF 16V 20% SMD","REF26"
"C75","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C76","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C77","0.1uF","","C0805","NON-POLARIZED CAP","C0805F104K5RACTU","Kemet","DK","399-5110-1-ND","CAP CER .1UF 50V X7R 0805 FO","REF69"
"C78(DNP)","0.1uF","TANT","C3216/T","POLARIZED CAP","DNP","DO NOT PLACE","(N/A)","DO NOT PLACE","DO NOT PLACE","REF14"
"D10","BZT52C5V1-7-F","","SOD123","Z-Diode","BZT52C5V6-7-F","Diodes Inc","DK","BZT52C5V6-FDICT-ND","DIODE ZENER 5.6V 500MW SOD-123","REF11"
"R16","1M","","R0805","RESISTOR","ERJ-6ENF1004V","Panasonic - ECG","DK","P1.00MCCT-ND","RES 1.00M OHM 1/8W 1% 0805 SMD","REF46"
"R24","91.0K","","R0805","RESISTOR","ERJ-6ENF9092V","Panasonic - ECG","DK","P90.9KCCT-ND","RES 90.9K OHM 1/8W 1% 0805 SMD","REF62"
"R25","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R26","10K","","EVME-SIDE","POTENTIOMETER","EVM-EGGA00B14","Panasonic - ECG","DK","EGG14BK-ND","POT 10K OHM 6MM CERAMIC SIDE ADJ","REF42"
"R27","10K","","EVME-SIDE","POTENTIOMETER","EVM-EGGA00B14","Panasonic - ECG","DK","EGG14BK-ND","POT 10K OHM 6MM CERAMIC SIDE ADJ","REF42"
"R28","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R29","332K","","R0805","RESISTOR","ERJ-6ENF3323V","Panasonic - ECG","DK","P332KCCT-ND","RES 332K OHM 1/8W 1% 0805 SMD","REF54"
"R30","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R31","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
"R32","301K","","R0805","RESISTOR","ERJ-6ENF3013V","Panasonic - ECG","DK","P301KCCT-ND","RES 301K OHM 1/8W 1% 0805 SMD","REF52"
"R33","4.75K","","R0805","RESISTOR","ERJ-6ENF4751V","Panasonic - ECG","DK","P4.75KCCT-ND","RES 4.75K OHM 1/8W 1% 0805 SMD","REF55"
"R34","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R35","150K","","R0805","RESISTOR","ERJ-6ENF1503V","Panasonic - ECG","DK","P150KCCT-ND","RES 150K OHM 1/8W 1% 0805 SMD","REF50"
"R36","5.62K","","R0805","RESISTOR","ERJ-6ENF5621V","Panasonic - ECG","DK","P5.62KCCT-ND","RES 5.62K OHM 1/8W 1% 0805 SMD","REF59"
"R37","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R38","8.25K","","R0805","RESISTOR","ERJ-6ENF8251V","Panasonic - ECG","DK","P8.25KCCT-ND","RES 8.25K OHM 1/8W 1% 0805 SMD","REF61"
"R39","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R40","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R41","100K","","R0805","RESISTOR","ERJ-6ENF1003V","Panasonic - ECG","DK","P100KCCT-ND","RES 100K OHM 1/8W 1% 0805 SMD","REF48"
"R42","11.3K","","R0805","RESISTOR","ERJ-6ENF1132V","Panasonic - ECG","DK","P11.3KCCT-ND","RES 11.3K OHM 1/8W 1% 0805 SMD","REF49"
"R43","10K","","R0805","RESISTOR","ERJ-6ENF1002V","Panasonic - ECG","DK","P10.0KCCT-ND","RES 10.0K OHM 1/8W 1% 0805 SMD","REF47"
"R44","22K","","R0805","RESISTOR","ERJ-6ENF2212V","Panasonic - ECG","DK","P22.1KCCT-ND","RES 22.1K OHM 1/8W 1% 0805 SMD","REF51"
