Qty-1,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,XREF
1,"U12",AD158X,SOT23,AD1584BRTZ-REEL7,Analog Devices Inc,DK,AD1584BRTZ-REEL7CT-ND,IC V-REF 4.096V SOT-23,REF1
1,"D1",BAV16W-7-F,SOD123,BAV16W-7-F,Diodes Inc,DK,BAV16W-FDICT-ND,DIODE SWITCH 75V 400MW SOD123,REF9
0,"B1(DNP)",BR1225A/HB,BR1225,BR1225A/HB,Panasonic - BCG,DK,P061-ND,BATTERY LITH COIN HITEMP W/LEGS,REF41
2,"D7, D10",BZT52C5V1-7-F,SOD123,BZT52C5V6-7-F,Diodes Inc,DK,BZT52C5V6-FDICT-ND,DIODE ZENER 5.6V 500MW SOD-123,REF11
1,"S1",CK-A,CK-A,2M1-SP1-T2-B4-M6RE,Carling Technologies,DK,432-1164-ND,SW TOGGLE SPDT .4VA RT ANG PCB,REF5
1,"L1",CM1812,CM1812,CM1812R600R-10,Laird-Signal Integrity Products,DK,240-2454-1-ND,CHOKE COMMON MODE 60 OHMS SMD,REF27
1,"U6",CM8870CS,SO18W,MT8870DS,Zarlink,FE,MT8870DS,DTMF Decoder IC,REF93
1,"U1",DS1307Z,SO08,DS1307Z+,Maxim Integrated Products,DK,DS1307Z+-ND,IC RTC SERIAL 512K 8-SOIC,REF28
1,"X1",EDSTLZ951/2,951-2,EDSTLZ951/2,On Shore Technology Inc,DK,ED2427-ND,TERM BLOCK HDR 5.08MM 2POS PCB,REF39
1,"X1-MATE",EDZ951/2,*,EDZ951/2,On Shore Technology Inc,DK,ED2409-ND,TERM BLOCK PLUG 5.08MM 2POS,REF38
1,"L3",FB-M1331,L1206,PM2001-200,JW Miller A Bourns Company,DK,M1331CT-ND,FERRITE CHIP 20 OHM 25%,REF19
2,"Q3, Q4",IRF614SPBF,D2PAK,IRF614SPBF,Vishay/Siliconix,DK,IRF614SPBF-ND,MOSFET N-CH 250V 2.7A D2PAK,REF90
1,"U9",ISD4002S,SO28W,ISD4002-240SY,Nuvoton Technology Corporation,DK,ISD4002-240SY,IC VOICE REC/PLAY 240S 28-SOIC,REF35
1,"U4",L78L33ACUTR,SOT89-4,L78L33ACUTR,STMicroelectronics,DK,497-1200-1-ND,IC REGULATOR POS 3.3V SOT89,REF82
1,"U11",L7805ACD2T,D2PAK,L7805ACD2T,STMicroelectronics,DK,497-1440-5-ND,IC REG POS 1.5A 5V PREC D2PAK,REF83
1,"U5",LM324D,SO14,LM324D,Texas Instruments,DK,296-1390-5-ND,IC OPAMP GP 1.2MHZ QUAD 14SOIC,REF84
1,"U7",MAX323CSA,SO08,MAX323CSA+,Maxim Integrated Products,DK,MAX323CSA+-ND,IC SWITCH DUAL SPST 8SOIC,REF29
1,"U3",MAX3243IPWR,TSSOP28,MAX3243ECPWR,Texas Instruments,DK,296-19808-1-ND,IC RS232 3V-5.5V DRVR 28-TSSOP,REF85
1,"U2",MEGA1281/2561,TQFP64-AEB,ATMEGA1281-16AU,Atmel,DK,ATMEGA1281-16AU-ND,MCU AVR 128K FLASH 16MHZ 64TQFP,REF2
1,"PF1",MF-SM030-2,SMD-7555,MF-SM030-2,Bourns Inc.,DK,MF-SM030CT-ND,FUSE RESETTABLE .30A 60V SMD,REF4
2,"Q1, Q5",MMBTA05LT1G,SOT23,MMBTA05LT1G,ON Semiconductor,DK,MMBTA05LT1GOSCT-ND,TRANS DRIVER SS NPN 60V SOT23,REF37
1,"U8",MX828DS,SSOP24,MX828DW,CML Electronics,MX,MX828DW,PL ENCODER/DECODER (DISCONTINUED!!!),REF7
1,"R22",NCP21WF104J03RA,R0805,NCP21WF104J03RA,Murata Electronics North America,DK,490-2451-1-ND,THERMISTOR 100K OHM NTC 0805 SMD,REF33
1,"D11",RED,LED535,5350T5,Chicago Miniature Lighting,DK,L20085-ND,LED GREEN T-3/4 RT ANG PCB,REF6
3,"D5, D6, D9",S1GB-13,SMB,RS1GB-13-F,Diodes Inc,DK,RS1GB-FDICT-ND,DIODE FAST RECOVERY 1A 400V SMB,REF12
1,"U10",TL084D,SO14,TLC084CD,Texas Instruments,DK,296-2423-5-ND,IC OPAMP GP 10MHZ QUAD 14SOIC,REF86
1,"Q2",ZXMN6A07Z,SOT89,ZXMN6A07ZTA,Diodes/Zetex,DK,ZXMN6A07ZCT-ND,MOSFET N-CH 60V 1.9A SOT-89,REF13
