"Qty","Value","Part Num","Package","Parts","Mfg Name","VID","Vendor Part Num","Description","XREF"
"4","1500pF","C0805C152K5RACTU","C0805","C32, C33, C34, C42","Kemet","DK","399-1150-1-ND","CAP 1500PF 50V CERAMIC X7R 0805","REF70"
"1","4700pF","C0805C472K5RACTU","C0805","C60","Kemet","DK","399-1155-1-ND","CAP 4700PF 50V CERAMIC X7R 0805","REF77"
"1","70553-0007","70553-0007","70553-08","X3","Molex Connector Corporation","DK","WM4906-ND","CONN HEADER 8POS .100 R/A GOLD","REF30"
"1","640454-2","640454-2","MTA-100-2V","X5","Tyco Electronics ","DK","A19423-ND","CONN HEADER VERT 2POS .100 TIN","REF87"
"1","640454-8","640454-8","MTA08-100","X4","Tyco Electronics ","DK","A19435-ND","CONN HEADER VERT 8POS .100 TIN","REF88"
"1","AD158X","AD1584BRTZ-REEL7","SOT23","U12","Analog Devices Inc","DK","AD1584BRTZ-REEL7CT-ND","IC V-REF 4.096V SOT-23","REF1"
"1","BAV16W-7-F","BAV16W-7-F","SOD123","D1","Diodes Inc","DK","BAV16W-FDICT-ND","DIODE SWITCH 75V 400MW SOD123","REF9"
"0","BR1225A/HB","BR1225A/HB","BR1225","B1(DNP)","Panasonic - BCG","DK","P061-ND","BATTERY LITH COIN HITEMP W/LEGS","REF41"
"2","BZT52C5V1-7-F","BZT52C5V6-7-F","SOD123","D7, D10","Diodes Inc","DK","BZT52C5V6-FDICT-ND","DIODE ZENER 5.6V 500MW SOD-123","REF11"
"1","CK-A","2M1-SP1-T2-B4-M6RE","CK-A","S1","Carling Technologies","DK","432-1164-ND","SW TOGGLE SPDT .4VA RT ANG PCB","REF5"
"1","CM1812","CM1812R600R-10","CM1812","L1","Laird-Signal Integrity Products","DK","240-2454-1-ND","CHOKE COMMON MODE 60 OHMS SMD","REF27"
"1","CM8870CS","MT8870DS","SO18W","U6","Zarlink","FE","MT8870DS","DTMF Decoder IC","REF93"
"1","DS1307Z","DS1307Z+","SO08","U1","Maxim Integrated Products","DK","DS1307Z+-ND","IC RTC SERIAL 512K 8-SOIC","REF28"
"1","EDSTLZ951/2","EDSTLZ951/2","951-2","X1","On Shore Technology Inc","DK","ED2427-ND","TERM BLOCK HDR 5.08MM 2POS PCB","REF39"
"1","EDZ951/2","EDZ951/2","*","X1-MATE","On Shore Technology Inc","DK","ED2409-ND","TERM BLOCK PLUG 5.08MM 2POS","REF38"
"1","FB-M1331","PM2001-200","L1206","L3","JW Miller A Bourns Company","DK","M1331CT-ND","FERRITE CHIP 20 OHM 25%","REF19"
"2","IRF614SPBF","IRF614SPBF","D2PAK","Q3, Q4","Vishay/Siliconix","DK","IRF614SPBF-ND","MOSFET N-CH 250V 2.7A D2PAK","REF90"
"1","ISD4002S","ISD4002-240SY","SO28W","U9","Nuvoton Technology Corporation","DK","ISD4002-240SY","IC VOICE REC/PLAY 240S 28-SOIC","REF35"
